nama,harga,penjual,kota,unit_terjual,rating
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250.0,4.8
Kylafood Seblak Original Play,15050,kylafood,Bandung,1000.0,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000.0,4.9
Kylafood Seblak Rempah Autentik,10000,Kylafood Jakarta,Jakarta Selatan,100.0,5.0
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,10000,TOKO KUE MEISYA,Jakarta Pusat,100.0,4.9
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000.0,4.8
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000.0,4.8
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,250.0,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100.0,4.8
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",17499,aghniya,Tangerang Selatan,50.0,4.9
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000.0,4.8
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000.0,4.8
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,250.0,4.9
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,250.0,5.0
SEBLAK INSTAN MAMANG TERMURAH,4000,global cookware1,Jakarta Barat,100.0,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500.0,4.8
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,40.0,5.0
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,750.0,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10000,Anggris store,Kab. Bogor,50.0,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,70.0,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,250.0,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250.0,4.8
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,38000,Beauty DELUXE,Jakarta Barat,9.0,5.0
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,12000,insanprimastore,Tangerang Selatan,21.0,5.0
